date,open,high,low,volume,close,direction
15-05-2008,287.629242,289.591492,285.94519,8741700,288.622772,1
16-05-2008,288.836395,290.450897,287.291443,8603700,288.160797,0
19-05-2008,287.405701,292.537323,284.906952,11281900,286.894043,0
20-05-2008,285.458374,289.358002,284.603912,6670300,287.430542,1
21-05-2008,287.390808,288.826477,272.174774,13020200,273.217987,0
22-05-2008,274.19165,275.314331,268.379456,10218600,272.954681,0
23-05-2008,271.712769,274.713257,267.167328,8920500,270.550323,0
27-05-2008,270.719238,279.482239,270.167816,7781200,278.637726,1
28-05-2008,282.134979,283.898499,278.737091,8153400,282.284027,1
29-05-2008,285.537842,291.047028,284.747986,9752900,289.616333,1
30-05-2008,289.849792,293.053955,288.77182,6492300,291.007263,1
02-06-2008,289.36795,290.058441,283.789215,7396100,285.642181,0
03-06-2008,286.387329,288.37439,278.493652,8666500,281.817047,0
04-06-2008,280.838409,287.132477,280.450928,6770000,284.261169,1
05-06-2008,286.675446,292.120026,286.243256,7884300,291.255676,1
06-06-2008,288.001831,288.483704,281.66803,9530500,281.66803,0
09-06-2008,282.194611,283.158325,270.937805,10645200,277.132507,0
10-06-2008,273.004364,277.604462,271.623352,7362400,275.294464,0
11-06-2008,276.322784,276.869232,270.470856,7675300,270.83847,0
12-06-2008,272.606964,277.197113,271.673035,11054500,274.688416,1
13-06-2008,278.930817,285.989899,278.856323,12449100,283.908447,1
16-06-2008,281.419647,287.678925,281.419647,7131500,284.55426,1
17-06-2008,286.312805,287.167267,282.353577,6970800,282.890076,0
18-06-2008,280.431061,282.656586,277.773346,6806200,279.372955,0
19-06-2008,275.880676,280.06842,273.625336,11440000,278.289978,0
20-06-2008,276.690399,276.690399,270.495697,12043900,271.449493,0
23-06-2008,270.917938,274.787781,269.258728,7318900,270.843414,0
24-06-2008,270.808655,273.814117,265.821075,9405900,269.397827,0
25-06-2008,270.724213,277.097748,270.0784,8297900,273.719727,1
26-06-2008,270.292023,270.704315,262.423187,11392600,262.701385,0
27-06-2008,262.135071,263.287567,255.880737,10965700,262.328796,0
30-06-2008,264.514587,267.261719,259.839996,7579500,261.509125,0
01-07-2008,258.111237,266.625854,256.829559,9984200,265.637299,1
02-07-2008,266.521545,268.444031,261.330292,8500900,261.817139,0
03-07-2008,263.724731,267.872742,262.045654,4832100,266.764954,1
07-07-2008,269.397827,272.726166,266.069489,8565700,270.197632,1
08-07-2008,271.230896,275.801178,268.255249,9928900,275.473297,1
09-07-2008,273.600494,276.044586,268.617889,8362000,269.025238,0
10-07-2008,270.739105,272.974548,263.645233,8719700,268.538422,0
11-07-2008,266.516571,268.006866,258.036713,10027500,265.175293,0
14-07-2008,267.758484,268.285065,256.05957,8907100,259.124634,0
15-07-2008,256.471893,262.045654,248.930939,12220900,256.377502,0
16-07-2008,255.359131,266.516571,253.650253,9545900,266.069489,1
17-07-2008,265.354126,266.789795,260.555328,17688900,264.99646,0
18-07-2008,247.564835,247.877792,237.549973,22731500,239.104858,0
21-07-2008,238.886276,240.480896,231.345322,11879700,232.8853,0
22-07-2008,231.85202,238.573303,231.295639,9443900,237.013458,1
23-07-2008,239.248917,247.008453,237.505264,9851800,243.029327,1
24-07-2008,246.745163,246.829605,236.27327,7127700,236.27327,0
25-07-2008,241.673141,244.971695,239.194275,6408200,244.400406,1
28-07-2008,244.455063,244.455063,236.029846,6361000,237.018417,0
29-07-2008,238.101379,242.055664,237.455582,5642000,239.994064,1
30-07-2008,241.181351,241.439667,234.87735,7026600,239.79039,0
31-07-2008,235.746689,238.891235,234.196777,5767400,235.344315,0
01-08-2008,234.728317,235.081024,229.755661,6054900,232.41835,0
04-08-2008,232.547501,234.9767,229.457596,5006200,230.004044,0
05-08-2008,232.28421,238.488861,231.658279,7215600,238.374603,1
06-08-2008,237.639389,243.302551,234.728317,6795400,241.598633,1
07-08-2008,239.442657,240.436188,236.66571,5583600,238.011963,0
08-08-2008,238.523636,246.273224,236.308044,7527100,245.905624,1
11-08-2008,244.643829,252.795807,244.301056,8533700,248.801788,1
12-08-2008,249.378036,251.429688,247.390961,5547200,249.681061,1
